11
MARIETTA,HALL,APCM WEALTH MANAGEMENT FOR INDIVIDUALS LLC,938,AK,900 WEST 5TH AVENUE,N
CATHERINE,STRAUB,APCM WEALTH MANAGEMENT FOR INDIVIDUALS LLC,3952,AK,900 WEST 5TH AVENUE,N
DIANE,WILKE,MCKINLEY CAPITAL MANAGEMENT LLC,9767,AK,3301 C STREET,N
JOHN,REYNOLDS,MCKINLEY CAPITAL MANAGEMENT LLC,11689,AK,3301 C STREET,N
ALEXANDER,LUND,FOUNDATIONS ASSET MANAGEMENT LLC,9280,AK,3601 C STREET,N
JOHN,HUSBAND,DENALI CAPITAL MANAGEMENT LLC,533,AK,1362 VIEWPOINTE DR,N
GALE,SMITH,GALE L. SMITH & COMPANY INC.,5102,AK,nan,N
ROBERT,GILLAM,MCKINLEY CAPITAL MANAGEMENT LLC,7568,AK,3301 C STREET,N
ROB,WEDEL,FOUNDATIONS ASSET MANAGEMENT LLC,4609,AK,3601 C STREET,N
TY,SCHOMMER,ARBOR CAPITAL MANAGEMENT INC,13407,AK,1400 WEST BENSON BLVD.,N
GARY,DALTON,LATASH INVESTMENTS LLC,1569,AK,301 W. NORTHERN LIGHTS BLVD.,N
WESLEY,TEGELER,TEGELER ADVISORY SERVICES LLC,9559,AK,2801 E. PALMER-WASILLA HWY,N
MATTHEW,KOLESKY,ARBOR CAPITAL MANAGEMENT INC,13240,AK,1400 WEST BENSON BLVD.,N
ALYSSA,MITCHELL,ARBOR CAPITAL MANAGEMENT INC,3587,AK,1400 WEST BENSON BLVD.,N
NATASHA,VON IMHOF,LATASH INVESTMENTS LLC,8031,AK,301 W. NORTHERN LIGHTS BLVD.,N
JAMIE,SHILANSKI,SHILANSKI & ASSOCIATES INC.,10144,AK,431 WEST SEVENTH STREET,Y
MICAH,SHILANSKI,SHILANSKI & ASSOCIATES INC.,15974,AK,431 WEST SEVENTH STREET,N
ANDREA,FERGUS,OUTLOOK FINANCIAL SERVICES,818,AK,2525 BLUEBERRY ROAD SUITE 103,N
DANIEL,CASSAYRE,ELLIOTT FINANCIAL MANAGEMENT INC.,16957,AK,nan,N
John,Elliott,ELLIOTT FINANCIAL MANAGEMENT INC.,2104,AK,nan,N
Jayson,Owens,BRIGHT ROAD WEALTH MANAGEMENT LLC,4230,AK,nan,N
Kirby,Houchin,ARBOR CAPITAL MANAGEMENT INC,7585,AK,1400 WEST BENSON BLVD.,N
Jennifer,Gastrock,BRIGHT ROAD WEALTH MANAGEMENT LLC,10899,AK,nan,N
Kailie,Abascal,APCM WEALTH MANAGEMENT FOR INDIVIDUALS LLC,15251,AK,900 WEST 5TH AVENUE,N
THOMAS,MARTIN,SHILANSKI & ASSOCIATES INC.,10391,AK,431 WEST SEVENTH STREET,N
DAVID,GOTTSTEIN,DYNAMIC CAPITAL MANAGEMENT INC.,16373,AK,1007 WEST 3RD AVENUE,N
